,Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_Tank_Capacity,Fuel_Type,Body_Type,City_Mileage,ARAI_Certified_Mileage,Front_Brakes,Rear_Brakes,Power,Seating_Capacity,Seats_Material,Wheelbase,Wheels_Size,Airbags,Number_of_Airbags
286,Hyundai,Grand I10,1.2 Kappa Vtvt Sportz At,"Rs. 7,05,538",1197 cc,4,In-line,BS IV,"Front, Transverse",43 litres,Petrol,Hatchback,18.9 km/litre,17.49 km/litre,Solid Disc,Drum,83PS@6000rpm,5,Fabric,2425 mm,165/65R14,"Driver frontal airbag, Front passenger frontal airbag",2
287,Hyundai,Grand I10,1.2 Kappa Vtvt Sportz Dual Tone,"Rs. 6,40,537",1197 cc,4,In-line,BS IV,"Front, Transverse",43 litres,Petrol,Hatchback,18.9 km/litre,19.77 km/litre,Solid Disc,Drum,83PS@6000rpm,5,Fabric,2425 mm,165/65R14,"Driver frontal airbag, Front passenger frontal airbag",2
288,Nissan,Sunny,Xe Petrol,"Rs. 7,07,025",1498 cc,4,In-line,BS IV,"Front, Transverse",41 litres,Petrol,Sedan,10.6 km/litre,16.95 km/litre,Ventilated Disc,Drum,99PS@6000rpm,5,Fabric,2600 mm,R14,Driver frontal airbag,1
289,Nissan,Sunny,Xl Petrol,"Rs. 8,36,461",1498 cc,4,In-line,BS IV,"Front, Transverse",41 litres,Petrol,Sedan,10.6 km/litre,16.95 km/litre,Ventilated Disc,Drum,99PS@6000rpm,5,Fabric,2600 mm,R14,Driver frontal airbag,1
290,Nissan,Sunny,Xe Diesel,"Rs. 8,60,997",1461 cc,4,In-line,BS IV,"Front, Transverse",41 litres,Diesel,Sedan,18 km/litre,22.71 km/litre,Ventilated Disc,Drum,86Ps@3750rpm,5,Fabric,2600 mm,R14,Driver frontal airbag,1
291,Nissan,Sunny,Xv Cvt,"Rs. 9,93,997",1498 cc,4,In-line,BS IV,"Front, Transverse",41 litres,Petrol,Sedan,10.6 km/litre,17.97 km/litre,Ventilated Disc,Drum,101PS@5600rpm,5,Leather,2600 mm,R14,"Driver frontal airbag, Front passenger frontal airbag",2
292,Nissan,Sunny,Special Edition Diesel,"Rs. 8,77,285",1461 cc,4,In-line,BS IV,"Front, Transverse",41 litres,Diesel,Sedan,18 km/litre,22.71 km/litre,Ventilated Disc,Drum,86Ps@3750rpm,5,Fabric,2600 mm,R15,"Driver frontal airbag, Front passenger frontal airbag",2
293,Maruti Suzuki,Baleno Rs,Rs 1.0,"Rs. 7,88,913",998 cc,3,In-line,BS IV,"Front, Transverse",37 litres,Petrol,Hatchback,21.4 km/litre,21.4 km/litre,Ventilated Disc,Ventilated Disc,102PS@5500rpm,5,Leather,2520 mm,195/55R16,"Driver frontal airbag, Front passenger frontal airbag",2
294,Mahindra,Tuv300,T4 Plus,"Rs. 8,54,328",1493 cc,3,In-line,BS IV,"Front, Longitudinal",60 litres,Diesel,SUV,18.49 km/litre,18.49 km/litre,Ventilated Disc,Drum,84PS@3750RPM,7,Fabric,2680 mm,215/75R15,"Driver frontal airbag, Front passenger frontal airbag",2
295,Mahindra,Tuv300,T6 Plus,"Rs. 9,14,328",1493 cc,3,In-line,BS IV,"Front, Longitudinal",60 litres,Diesel,SUV,18.49 km/litre,18.49 km/litre,Ventilated Disc,Drum,84PS@3750RPM,7,Fabric,2680 mm,215/75R15,"Driver frontal airbag, Front passenger frontal airbag",2
296,Mahindra,Tuv300,T10 (O),"Rs. 10,31,943",1493 cc,3,In-line,BS IV,"Front, Longitudinal",60 litres,Diesel,SUV,18.49 km/litre,18.49 km/litre,Ventilated Disc,Drum,100PS@3750RPM,7,Leather,2680 mm,215/75R15,"Driver frontal airbag, Front passenger frontal airbag",2
297,Mahindra,Tuv300,T10 Dual Tone,"Rs. 10,22,930",1493 cc,3,In-line,BS IV,"Front, Longitudinal",60 litres,Diesel,SUV,18.49 km/litre,18.49 km/litre,Ventilated Disc,Drum,100PS@3750RPM,7,Fabric,2680 mm,215/75R15,"Driver frontal airbag, Front passenger frontal airbag",2
298,Mahindra,Tuv300,T10 (O) Dual Tone,"Rs. 10,55,259",1493 cc,3,In-line,BS IV,"Front, Longitudinal",60 litres,Diesel,SUV,18.49 km/litre,18.49 km/litre,Ventilated Disc,Drum,100PS@3750RPM,7,Leather,2680 mm,215/75R15,"Driver frontal airbag, Front passenger frontal airbag",2
299,Maruti Suzuki,S-Cross,1.3L Sigma,"Rs. 8,80,689",1248 cc,4,In-line,BS IV,"Front, Transverse",48 litres,Diesel,Crossover,23.65 km/litre,23.65 km/litre,Ventilated Disc,Drum,90PS@4000rpm,5,Fabric,2600 mm,205/55 R16,"Driver frontal airbag, Front passenger frontal airbag",2
300,Maruti Suzuki,S-Cross,1.3L Delta,"Rs. 9,92,689",1248 cc,4,In-line,BS IV,"Front, Transverse",48 litres,Diesel,Crossover,23.65 km/litre,23.65 km/litre,Ventilated Disc,Drum,90PS@4000rpm,5,Fabric,2600 mm,205/60/R16,"Driver frontal airbag, Front passenger frontal airbag",2
301,Maruti Suzuki,S-Cross,1.3L Zeta,"Rs. 10,43,689",1248 cc,4,In-line,BS IV,"Front, Transverse",48 litres,Diesel,Crossover,23.65 km/litre,23.65 km/litre,Ventilated Disc,Solid Disc,90PS@4000rpm,5,Fabric,2600 mm,205/60/R16,"Driver frontal airbag, Front passenger frontal airbag",2
302,Maruti Suzuki,S-Cross,1.3L Alpha,"Rs. 11,43,689",1248 cc,4,In-line,BS IV,"Front, Transverse",48 litres,Diesel,Crossover,23.65 km/litre,23.65 km/litre,Ventilated Disc,Solid Disc,90PS@4000rpm,5,Leather,2600 mm,205/60R16,"Driver frontal airbag, Front passenger frontal airbag",2
303,Mahindra,Xylo,H8 Abs Airbags Bs-Iv,"Rs. 12,28,335",2179 cc,4,In-line,BS IV,"Front, Transverse",55 litres,Diesel,SUV,11.4 km/litre,14.02 km/litre,Ventilated Disc,Drum,121PS@4000rpm,8,Fabric,2760 mm,215/75R15,"Driver frontal airbag, Front passenger frontal airbag",2
304,Nissan,Terrano,Xe D 85Ps,"Rs. 9,99,900",1461 cc,4,In-line,BS IV,"Front, Transverse",50 litres,Diesel,SUV,17.1 km/litre,20.45 km/litre,Ventilated Disc,Drum,85PS@3750rpm,5,Fabric,2673 mm,215/65R16,"Driver frontal airbag, Front passenger frontal airbag",2
305,Nissan,Terrano,Xv D Premium 110 Ps Amt,"Rs. 14,64,900",1461 cc,4,In-line,BS IV,"Front, Transverse",50 litres,Diesel,SUV,16 km/litre,19.01 km/litre,Ventilated Disc,Drum,110PS@3900rpm,5,Fabric,2673 mm,215/65R16,"Driver frontal airbag, Front passenger frontal airbag",2
306,Nissan,Terrano,Xl (P),"Rs. 9,99,900",1598 cc,4,In-line,BS IV,"Front, Transverse",50 litres,Petrol,SUV,10.1 km/litre,13.24 km/litre,Ventilated Disc,Drum,104PS@5850rpm,5,Fabric,2673 mm,215/65R16,"Driver frontal airbag, Front passenger frontal airbag",2
307,Nissan,Terrano,Xl D(O),"Rs. 12,35,700",1461 cc,4,In-line,BS IV,"Front, Transverse",50 litres,Diesel,SUV,17.1 km/litre,20.45 km/litre,Ventilated Disc,Drum,85PS@3750rpm,5,Fabric,2673 mm,215/65R16,"Driver frontal airbag, Front passenger frontal airbag",2
308,Nissan,Terrano,Xv D Premium 110 Ps,"Rs. 14,19,900",1461 cc,4,In-line,BS IV,"Front, Transverse",50 litres,Diesel,SUV,16 km/litre,19.01 km/litre,Ventilated Disc,Drum,110PS@3900rpm,5,Leather,2673 mm,215/65R16,"Driver frontal airbag, Front passenger frontal airbag",2
309,Nissan,Terrano,Sport Edition,"Rs. 12,35,700",1461 cc,4,In-line,BS IV,"Front, Transverse",50 litres,Diesel,SUV,17.1 km/litre,20.45 km/litre,Ventilated Disc,Drum,85PS@3750rpm,5,Fabric,2673 mm,215/65R16,"Driver frontal airbag, Front passenger frontal airbag",2
310,Tata,Safari Storme,2.2 Vx 4X2 Varicor 400,"Rs. 14,79,574",2179 cc,4,In-line,BS IV,"Front, Longitudinal",63 litres,Diesel,SUV,10.8 km/litre,14.1 km/litre,Ventilated Disc,Ventilated Disc,156PS@4000rpm,7,Fabric,2650 mm,235/70R16,"Driver frontal airbag, Front passenger frontal airbag",2
311,Tata,Safari Storme,2.2 Vx 4X4 Varicor 400,"Rs. 16,43,829",2179 cc,4,In-line,BS IV,"Front, Longitudinal",63 litres,Diesel,SUV,"13,93 km/litre",14.1 km/litre,Ventilated Disc,Ventilated Disc,156PS@4000rpm,7,Fabric,2650 mm,235/70R16,"Driver frontal airbag, Front passenger frontal airbag",2
312,Hyundai,Elantra,S,"Rs. 15,89,000",1999 cc,4,In-line,BS 6,"Front, Transverse",50 litres,Petrol,Sedan,13.1 km/litre,14.6 km/litre,Ventilated Disc,Ventilated Disc,152PS@6200rpm,5,Fabric,2700 mm,205/60R16,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag, Front passenger curtain airbag, Driver curtain airbag",6
313,Hyundai,Elantra,Sx,"Rs. 18,49,000",1999 cc,4,In-line,BS 6,"Front, Transverse",50 litres,Petrol,Sedan,13.1 km/litre,14.6 km/litre,Ventilated Disc,Ventilated Disc,152PS@6200rpm,5,Fabric,2700 mm,205/60R16,"Driver curtain airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag, Front passenger curtain airbag",6
314,Hyundai,Elantra,Sx At,"Rs. 19,49,000",1999 cc,4,In-line,BS 6,"Front, Transverse",50 litres,Petrol,Sedan,13.1 km/litre,14.6 km/litre,Ventilated Disc,Ventilated Disc,152PS@6200rpm,5,Fabric,2700 mm,205/60R16,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag, Front passenger curtain airbag, Driver curtain airbag",6
315,Hyundai,Elantra,Sx(O) At,"Rs. 20,39,000",1999 cc,4,In-line,BS 6,"Front, Transverse",50 litres,Petrol,Sedan,13.1 km/litre,14.6 km/litre,Ventilated Disc,Ventilated Disc,152PS@6200rpm,5,Leather,2700 mm,205/60R16,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag, Front passenger curtain airbag, Driver curtain airbag",6
316,Volvo,V40 Cross Country,D3,"Rs. 32,83,000",1984 cc,5,In-line,BS IV,"Front, Longitudinal",60 litres,Diesel,Hatchback,13.05 km/litre,16.8 km/litre,Ventilated Disc,Ventilated Disc,150PS@3500rpm,5,Leather,2646 mm,115/90R16,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Curtain airbags",7
317,Toyota,Prius,Z8,"Rs. 45,09,000",1798 cc,4,In-line,BS IV,"Front, Longitudinal",43 litres,Hybrid,Sedan,15.1 km/litre,23.9 km/litre,Ventilated Disc,Solid Disc,98PS@5200rpm,5,Leather,2700 mm,R15,"Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Driver knee airbag, Curtain airbags, Driver frontal airbag",7
318,Jaguar,F-Pace,Prestige,"Rs. 64,63,780",1999 cc,4,In-line,BS IV,"Front, Longitudinal",60 litres,Diesel,SUV,21.27 km/litre,16.38 km/litre,Ventilated Disc,Ventilated Disc,180ps@5500rpm,5,Leather,2874 mm,255/60 R18,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger curtain airbag, Rear passenger curtain airbags",6
319,Volvo,V90 Cross Country,D5 Inscription,"Rs. 65,31,000",1969 cc,4,In-line,BS IV,"Front, Longitudinal",60 litres,Diesel,SUV,13.2 km/litre,17.2 km/litre,Ventilated Disc,Ventilated Disc,235PS@4250RPM,5,Leather,2941 mm,245/45R20,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",6
320,Bmw,M4,Coupe,"Rs. 1,35,90,000",2979 cc,6,In-line,BS IV,"Front, Longitudinal",60 litres,Petrol,Coupe,7.32 km/litre,10.75 km/litre,Ventilated Disc,Ventilated Disc,431PS@7300RPM,4,Leather,2812 mm,R18,"Driver head airbag, Driver frontal airbag, Front passenger head airbag, Front passenger frontal airbag, Drive side airbag, Front passenger side airbag, Front passenger knee airbag, Driver knee airbag, Rear passenger head airbags",10
321,Porsche,911,Carrera S,"Rs. 1,74,20,000",2981 cc,6,Flat,BS 6,"Rear Mid, Transverse",64 litres,Petrol,Coupe,7.9 km/litre,8.9 km/litre,Ventilated Disc,Ventilated Disc,450hp@6500rpm,4,Leather,2450 mm,ZR21,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Rear passenger side airbags",4
322,Porsche,911,Carrera S Cabriolet,"Rs. 1,88,44,000",2981 cc,6,Flat,BS 6,"Rear Mid, Transverse",64 litres,Petrol,Convertible,11.6 km/litre,9.1 km/litre,Ventilated Disc,Ventilated Disc,450hp@6500rpm,4,Leather,2450 mm,ZR20,"Driver frontal airbag, Front passenger frontal airbag, Rear passenger side airbags, Driver head airbag",4
323,Nissan,Gtr,3.8 V6,"Rs. 2,12,40,272",3799 cc,6,V,BS IV,"Front, Longitudinal",74 litres,Petrol,Coupe,9 km/litre,9 km/litre,Ventilated Disc,Ventilated Disc,570PS@6800rpm,4,Leather,2780 mm,255/35 R20,"Drive side airbag, Front passenger curtain airbag, Driver curtain airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",6
324,Aston Martin,Rapide,Luxe,"Rs. 3,88,45,823",5935 cc,12,V,BS IV,"Mid, Longitudinal",90.5 litres,Petrol,Sedan,9.1 km/litre,12.9 km/litre,Ventilated Disc,Ventilated Disc,560PS@6650rpm,4,Leather,2989 mm,R20,"Front passenger frontal airbag, Front passenger side airbag, Driver head airbag, Front passenger head airbag, Drive side airbag, Rear passenger head airbags, Driver frontal airbag",8
325,Maruti Suzuki,Alto 800 Tour,H1 (O),"Rs. 3,56,559",796 cc,3,In-line,BS IV,"Front, Transverse",35 litres,Petrol,Hatchback,18 km/litre,24.7 km/litre,Solid Disc,Drum,48PS@6000rpm,5,Fabric,2360 mm,145/80R12,Driver frontal airbag,1
326,Hyundai,Grand I10 Nios,Magna 1.2 Crdi,"Rs. 6,75,090",1186 cc,3,In-line,BS 6,"Front, Transverse",37 litres,Diesel,Hatchback,20.7 km/litre,20.7 km/litre,Ventilated Disc,Drum,75PS@4000rpm,5,Fabric,2450 mm,165/70R14,"Front passenger frontal airbag, Driver frontal airbag",2
327,Hyundai,Xcent,S 1.2,"Rs. 6,43,769",1197 cc,4,In-line,BS IV,"Front, Transverse",43 litres,Petrol,Sedan,15.7 km/litre,20.14 km/litre,Ventilated Disc,Drum,83PS@6000rpm,5,Fabric,2425 mm,165/65R14,"Driver frontal airbag, Front passenger frontal airbag",2
328,Hyundai,Xcent,S At 1.2,"Rs. 7,33,734",1197 cc,4,In-line,BS IV,"Front, Longitudinal",43 litres,Petrol,Sedan,15.7 km/litre,17.36 km/litre,Solid Disc,Drum,82PS@6000rpm,5,Fabric,2425 mm,14,"Driver frontal airbag, Front passenger frontal airbag",2
329,Hyundai,Xcent,Sx 1.2,"Rs. 7,05,546",1197 cc,4,In-line,BS IV,"Front, Transverse",43 litres,Petrol,Sedan,15.7 km/litre,20.14 km/litre,Solid Disc,Drum,82PS@6000rpm,5,Fabric,2425 mm,165/65R14,"Driver frontal airbag, Front passenger frontal airbag",2
330,Hyundai,Xcent,Sx 1.2 Crdi,"Rs. 7,98,558",1120 cc,3,In-line,BS IV,"Front, Transverse",43 litres,Diesel,Sedan,19 km/litre,25.4 km/litre,Ventilated Disc,Drum,75PS@4000rpm,5,Fabric,2425 mm,165/65R14,"Driver frontal airbag, Front passenger frontal airbag",2
331,Hyundai,Xcent,Sx 1.2 Crdi (O),"Rs. 8,75,358",1120 cc,3,In-line,BS IV,"Front, Transverse",43 litres,Diesel,Sedan,19 km/litre,25.4 km/litre,Ventilated Disc,Drum,72PS@4000rpm,5,Fabric,2425 mm,175/60R15,"Driver frontal airbag, Front passenger frontal airbag",2
332,Maruti Suzuki,Ciaz,1.3L Alpha Smart Hybrid,"Rs. 11,02,689",1248 cc,4,In-line,BS IV,"Front, Transverse",43 litres,Diesel,Sedan,28.09 km/litre,28.09 km/litre,Ventilated Disc,Drum,89Bhp@4000RPM,5,Leather,2650 mm,195/55R16,"Driver frontal airbag, Front passenger frontal airbag",2
333,Maruti Suzuki,Ciaz,1.3L Sigma Smart Hybrid,"Rs. 9,19,689",1248 cc,4,In-line,BS IV,"Front, Transverse",43 litres,Diesel,Sedan,28.09 km/litre,28.09 km/litre,Ventilated Disc,Drum,89Bhp@4000RPM,5,Fabric,2650 mm,185/65R15,"Driver frontal airbag, Front passenger frontal airbag",2
334,Maruti Suzuki,Ciaz,1.3L Delta Smart Hybrid,"Rs. 9,80,689",1248 cc,4,In-line,BS IV,"Front, Transverse",43 litres,Diesel,Sedan,28.09 km/litre,28.09 km/litre,Ventilated Disc,Drum,89Bhp@4000RPM,5,Fabric,2650 mm,185/65R15,"Driver frontal airbag, Front passenger frontal airbag",2
335,Maruti Suzuki,Ciaz,1.3L Zeta Smart Hybrid,"Rs. 10,62,689",1248 cc,4,In-line,BS IV,"Front, Transverse",43 litres,Diesel,Sedan,28.09 km/litre,28.09 km/litre,Ventilated Disc,Drum,89Bhp@4000RPM,5,Fabric,2650 mm,185/65R15,"Driver frontal airbag, Front passenger frontal airbag",2
336,Maruti Suzuki,Ciaz,1.5L Zeta Smart Hybrid,"Rs. 9,58,689",1462 cc,4,In-line,BS 6,"Front, Transverse",43 litres,Petrol,Sedan,21.56 km/litre,21.56 km/litre,Ventilated Disc,Drum,103Bhp@6000rpm,5,Leather,2650 mm,185/65R15,"Driver frontal airbag, Front passenger frontal airbag",2
337,Maruti Suzuki,Ciaz,1.5L Alpha,"Rs. 11,38,189",1498 cc,4,In-line,BS IV,"Front, Transverse",43 litres,Diesel,Sedan,26.82 km/litre,26.82 km/litre,Ventilated Disc,Drum,94Bhp@4000RPM,5,Leather,2650 mm,195/55R16,"Driver frontal airbag, Front passenger frontal airbag",2
338,Maruti Suzuki,Ciaz,1.5L Delta,"Rs. 9,97,689",1498 cc,4,In-line,BS IV,"Front, Transverse",43 litres,Diesel,Sedan,26032 km/litre,26.32 km/litre,Ventilated Disc,Drum,94Bhp@4000RPM,5,Fabric,2650 mm,185/65R15,"Driver frontal airbag, Front passenger frontal airbag",2
339,Maruti Suzuki,Ciaz,1.5L Zeta,"Rs. 11,09,189",1498 cc,4,In-line,BS IV,"Front, Transverse",43 litres,Diesel,Sedan,26.32 km/litre,26.32 km/litre,Ventilated Disc,Drum,94Bhp@4000RPM,5,Fabric,2650 mm,185/65R15,"Driver frontal airbag, Front passenger frontal airbag",2
340,Skoda,Rapid,1.6 Mpi Ambition,"Rs. 9,98,599",1598 cc,4,In-line,BS IV,"Front, Transverse",55 litres,Petrol,Sedan,12 km/litre,15.41 km/litre,Ventilated Disc,Drum,105PS@5250rpm,5,Fabric,2552 mm,185/60R15,"Driver frontal airbag, Front passenger frontal airbag",2
341,Skoda,Rapid,1.5 Tdi Cr Ambition,"Rs. 11,29,599",1498 cc,4,In-line,BS IV,"Front, Transverse",55 litres,Diesel,Sedan,14.5 km/litre,21.13 km/litre,Ventilated Disc,Drum,110PS@4000rpm,5,Fabric,2552 mm,185/60R15,"Driver frontal airbag, Front passenger frontal airbag",2
342,Skoda,Rapid,1.5 Tdi Cr Ambition At,"Rs. 12,49,599",1498 cc,4,In-line,BS IV,"Front, Transverse",55 litres,Diesel,Sedan,14.5 km/litre,21.72 km/litre,Ventilated Disc,Drum,110PS@4000rpm,5,Fabric,2552 mm,185/60R15,"Driver frontal airbag, Front passenger frontal airbag",2
343,Skoda,Rapid,Onyx Mt Petrol,"Rs. 9,75,599",1598 cc,4,In-line,BS IV,"Front, Transverse",55 litres,Petrol,Sedan,12 km/litre,15.41 km/litre,Ventilated Disc,Drum,105PS@5250rpm,5,Leather,2552 mm,185/60R15,"Driver frontal airbag, Front passenger frontal airbag",2
344,Skoda,Rapid,Onyx At Petrol,"Rs. 10,99,599",1598 cc,4,In-line,BS IV,"Front, Transverse",55 litres,Petrol,Sedan,12 km/litre,14.84 km/litre,Ventilated Disc,Drum,105PS@5250rpm,5,Leather,2552 mm,185/60R15,"Driver frontal airbag, Front passenger frontal airbag",2
345,Skoda,Rapid,Onyx Mt Diesel,"Rs. 11,58,599",1498 cc,4,In-line,BS IV,"Front, Transverse",55 litres,Diesel,Sedan,18 km/litre,21.13 km/litre,Ventilated Disc,Drum,110PS@4000rpm,5,Leather,2552 mm,185/60R15,"Driver frontal airbag, Front passenger frontal airbag",2
346,Skoda,Rapid,Onyx At Diesel,"Rs. 12,73,599",1498 cc,4,In-line,BS IV,"Front, Transverse",55 litres,Diesel,Sedan,18 km/litre,21.72 km/litre,Ventilated Disc,Drum,110PS@4000rpm,5,Leather,2552 mm,185/60R15,"Driver frontal airbag, Front passenger frontal airbag",2
347,Hyundai,Creta,1.4 Crdi E Plus,"Rs. 9,99,990",1396 cc,4,In-line,BS IV,"Front, Transverse",55 litres,Diesel,SUV,21.38 km/litre,21.38 km/litre,Ventilated Disc,Drum,90PS@4000rpm,5,Fabric,2590 mm,205/65R16,"Driver frontal airbag, Front passenger frontal airbag",2
348,Hyundai,Creta,1.6 Vtvt E Plus,"Rs. 9,99,990",1591 cc,4,In-line,BS IV,"Front, Transverse",55 litres,Petrol,SUV,15.29 km/litre,15.29 km/litre,Ventilated Disc,Drum,123PS@6400rpm,5,Fabric,2590 mm,205/65R16,"Driver frontal airbag, Front passenger frontal airbag",2
349,Hyundai,Creta,1.6 Vtvt Sx,"Rs. 12,32,534",1591 cc,4,In-line,BS IV,"Front, Transverse",55 litres,Petrol,SUV,15.29 km/litre,15.29 km/litre,Ventilated Disc,Drum,123PS@6400rpm,5,Fabric,2590 mm,205/65R16,"Driver frontal airbag, Front passenger frontal airbag",2
350,Hyundai,Creta,1.6 Vtvt Sx (O),"Rs. 13,94,437",1591 cc,4,In-line,BS IV,"Front, Transverse",55 litres,Petrol,SUV,15.29 km/litre,15.29 km/litre,Ventilated Disc,Drum,123PS@6400rpm,5,Leather,2590 mm,205/65R16,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Curtain airbags",6
351,Hyundai,Creta,1.6 Vtvt Sx At,"Rs. 13,77,363",1591 cc,4,In-line,BS IV,"Front, Transverse",55 litres,Petrol,SUV,15.29 km/litre,15.29 km/litre,Ventilated Disc,Drum,123PS@6400rpm,5,Fabric,2590 mm,205/65R16,"Driver frontal airbag, Front passenger frontal airbag",2
352,Hyundai,Creta,1.4 Crdi Ex,"Rs. 11,07,167",1396 cc,4,In-line,BS IV,"Front, Transverse",55 litres,Diesel,SUV,21.38 km/litre,21.38 km/litre,Ventilated Disc,Drum,90PS@4000rpm,5,Fabric,2590 mm,205/65R16,"Driver frontal airbag, Front passenger frontal airbag",2
353,Hyundai,Creta,1.6 Vtvt Ex,"Rs. 10,92,192",1591 cc,4,In-line,BS IV,"Front, Transverse",55 litres,Petrol,SUV,15.29 km/litre,15.29 km/litre,Ventilated Disc,Drum,123PS@6400rpm,5,Fabric,2590 mm,205/65R16,"Driver frontal airbag, Front passenger frontal airbag",2
354,Hyundai,Creta,Sports Edition Petrol,"Rs. 12,79,983",1591 cc,4,In-line,BS IV,"Front, Transverse",55 litres,Petrol,SUV,15.29 km/litre,15.29 km/litre,Ventilated Disc,Drum,123PS@6400rpm,5,Fabric,2590 mm,205/65R16,"Driver frontal airbag, Front passenger frontal airbag",2
355,Honda,Accord Hybrid,2.0 At,"Rs. 43,21,237",1993 cc,4,In-line,BS IV,"Front, Transverse",60 litres,Hybrid,Sedan,21 km/litre,23.1 km/litre,Ventilated Disc,Solid Disc,145PS@6200rpm,5,Leather,2776 mm,R18,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",6
356,Bmw,5-Series,520D Luxury Line,"Rs. 59,30,000",1995 cc,4,In-line,BS IV,"Front, Longitudinal",70 litres,Diesel,Sedan,8.4 km/litre,18.12 km/litre,Ventilated Disc,Ventilated Disc,190PS@4000rpm,5,Leather,2968 mm,225/55R17,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Driver head airbag, Front passenger head airbag, Drive side airbag, Rear passenger head airbags",8
357,Bmw,5-Series,530I M Sport,"Rs. 59,80,000",1998 cc,6,In-line,BS IV,"Front, Longitudinal",70 litres,Petrol,Sedan,15.01 km/litre,15.01 km/litre,Ventilated Disc,Ventilated Disc,252PS@5200rpm,5,Leather,2968 mm,R18,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Driver head airbag, Front passenger head airbag, Drive side airbag",8
358,Mahindra,Nuvosport,N6,"Rs. 9,05,642",1493 cc,3,In-line,BS IV,"Front, Transverse",60 litres,Diesel,SUV,13.8 km/litre,17.21 km/litre,Ventilated Disc,Drum,100PS@3750RPM,7,Fabric,2760 mm,215/65R16,"Driver frontal airbag, Front passenger frontal airbag",2
359,Mahindra,Nuvosport,N8,"Rs. 9,84,818",1493 cc,3,In-line,BS IV,"Front, Transverse",60 litres,Diesel,SUV,13.8 km/litre,17.21 km/litre,Ventilated Disc,Drum,100PS@3750RPM,7,Leather,2760 mm,215/65R16,"Driver frontal airbag, Front passenger frontal airbag",2
360,Mahindra,Nuvosport,N6 Amt,"Rs. 9,72,359",1493 cc,3,In-line,BS IV,"Front, Transverse",60 litres,Diesel,SUV,12.8 km/litre,16.21 km/litre,Ventilated Disc,Drum,100PS@3750RPM,7,Fabric,2760 mm,215/65R16,"Driver frontal airbag, Front passenger frontal airbag",2
361,Mahindra,Nuvosport,N8 Amt,"Rs. 10,48,603",1493 cc,3,In-line,BS IV,"Front, Transverse",60 litres,Diesel,SUV,12.8 km/litre,16.21 km/litre,Ventilated Disc,Drum,100PS@3750RPM,7,Leather,2760 mm,215/65R16,"Driver frontal airbag, Front passenger frontal airbag",2
362,Fiat,Punto Evo,Active Multijet 1.3,"Rs. 6,31,292",1172 cc,4,In-line,BS IV,"Front, Transverse",45 litres,Diesel,Hatchback,"21,2 km/litre",20.5 km/litre,Ventilated Disc,Drum,76PS@4000RPM,5,Fabric,2510 mm,165/80R14,Driver frontal airbag,1
363,Fiat,Punto Evo,Emotion Multijet 1.3,"Rs. 7,47,774",1248 cc,4,In-line,BS IV,"Front, Transverse",45 litres,Diesel,Hatchback,"21,2 km/litre",21.2 km/litre,Ventilated Disc,Drum,76PS@4000RPM,5,Fabric,2510 mm,195/60R15,"Driver frontal airbag, Front passenger frontal airbag",2
364,Mitsubishi,Pajero Sport,2.5 Mt,"Rs. 29,03,750",2477 cc,4,In-line,BS IV,"Front, Longitudinal",70 litres,Diesel,SUV,6.5 km/litre,10.77 km/litre,Ventilated Disc,Drum,178PS@4000rpm,7,Leather,2800 mm,265/65R17,"Driver frontal airbag, Front passenger frontal airbag",2
365,Mitsubishi,Pajero Sport,2.5 At,"Rs. 28,35,500",2477 cc,4,In-line,BS IV,"Front, Longitudinal",70 litres,Diesel,SUV,6.5 km/litre,10.77 km/litre,Ventilated Disc,Drum,178PS@4000rpm,7,Leather,2800 mm,265/65R17,"Driver frontal airbag, Front passenger frontal airbag",2
366,Mitsubishi,Pajero Sport,Limited Edition,"Rs. 29,53,240",2477 cc,4,In-line,BS IV,"Front, Longitudinal",70 litres,Diesel,SUV,6.5 km/litre,10.77 km/litre,Ventilated Disc,Drum,178PS@4000rpm,7,Leather,2800 mm,265/65R17,"Driver frontal airbag, Front passenger frontal airbag",2
