,Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_Tank_Capacity,Fuel_Type,Body_Type,City_Mileage,ARAI_Certified_Mileage,Front_Brakes,Rear_Brakes,Power,Seating_Capacity,Seats_Material,Wheelbase,Wheels_Size,Airbags,Number_of_Airbags
237,Ford,Endeavour,2.2L 4X2 At Titanium Plus,"Rs. 32,33,000",2198 cc,4,In-line,BS IV,"Front, Transverse",80 litres,Diesel,SUV,9.3 km/litre,12.62 km/litre,Ventilated Disc,Ventilated Disc,160PS@3200rpm,7,Leather,2850 mm,265/60R18,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Curtain airbags",7
238,Ford,Endeavour,2.2L 4X2 Mt Titanium,"Rs. 29,20,000",2198 cc,4,In-line,BS IV,"Front, Transverse",80 litres,Diesel,SUV,9.3 km/litre,12.62 km/litre,Ventilated Disc,Ventilated Disc,160PS@3200rpm,7,Leather,2850 mm,265/60R18,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Curtain airbags",6
239,Bmw,X1,Sdrive20D Expedition,"Rs. 35,20,000",1995 cc,4,In-line,BS IV,"Front, Longitudinal",51 litres,Diesel,"Crossover, SUV",18 km/litre,20.68 km/litre,Ventilated Disc,Ventilated Disc,190hp@4000rpm,5,Leather,2670 mm,225/55R17,"Front passenger head airbag, Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Driver head airbag",6
240,Bmw,X1,Sdrive20D Xline,"Rs. 39,30,000",1995 cc,4,In-line,BS IV,"Front, Longitudinal",51 litres,Diesel,"SUV, Crossover",18 km/litre,20.68 km/litre,Ventilated Disc,Ventilated Disc,190PS@4000rpm,5,Leather,2670 mm,225/50 R18,"Driver head airbag, Front passenger head airbag, Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",6
241,Bmw,X1,Xdrive20D M Sport,"Rs. 45,70,000",1995 cc,4,In-line,BS IV,"Front, Longitudinal",51 litres,Diesel,"SUV, Crossover",18 km/litre,20.68 km/litre,Ventilated Disc,Ventilated Disc,190PS@4000rpm,5,Leather,2670 mm,225/50 R18,"Driver head airbag, Front passenger head airbag, Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",6
242,Bmw,X1,Sdrive20I Xline,"Rs. 38,30,000",1998 cc,4,In-line,BS 6,"Front, Longitudinal",51 litres,Petrol,"Crossover, SUV",15.71 km/litre,16.3 km/litre,Ventilated Disc,Ventilated Disc,192hp@5000rpm,5,Leather,2670 mm,225/50 R18,"Driver head airbag, Front passenger head airbag, Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",6
243,Volvo,S60 Cross Country,D4,"Rs. 44,26,500",2400 cc,5,In-line,BS IV,"Front, Transverse",67 litres,Diesel,"Sedan, Crossover",15.6 km/litre,19.6 km/litre,Ventilated Disc,Ventilated Disc,190PS@4000rpm,4,Leather,2774 mm,215/50R17,"Drive side airbag, Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags",6
244,Audi,Q5,35 Tdi Premium Plus,"Rs. 50,21,200",1968 cc,4,In-line,BS IV,"Front, Transverse",64 litres,Diesel,SUV,12 km/litre,16.9 km/litre,Ventilated Disc,Ventilated Disc,190PS@3800-4000rpm,5,Leather,2603 mm,235/60 R18,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Curtain airbags, Drive side airbag",8
245,Audi,Q5,35 Tdi Technology,"Rs. 56,21,200",1968 cc,4,In-line,BS IV,"Front, Transverse",64 litres,Diesel,SUV,12 km/litre,15.73 km/litre,Ventilated Disc,Ventilated Disc,190PS@3800-4000rpm,5,Leather,2603 mm,235/60 R18,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Curtain airbags, Drive side airbag",8
246,Volvo,Xc60,Inscription D5,"Rs. 59,90,000",1969 cc,5,In-line,BS IV,"Front, Longitudinal",70 litres,Diesel,SUV,11.7 km/litre,18.8 km/litre,Ventilated Disc,Ventilated Disc,233PS@4250rpm,5,Leather,2865 mm,235/55 R19,"Rear passenger side airbags, Drive side airbag, Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",8
247,Audi,Q7,45 Tdi Premium Plus,"Rs. 72,21,500",2967 cc,6,In-line,BS IV,"Front, Transverse",75 litres,Diesel,SUV,9.3 km/litre,14.75 km/litre,Ventilated Disc,Ventilated Disc,249PS@4500RPM,7,Leather,2994 mm,255/60R18,"Driver head airbag, Drive side airbag, Rear passenger head airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags",8
248,Audi,Q7,45 Tdi Technology Pack,"Rs. 80,21,500",2967 cc,6,In-line,BS IV,"Front, Transverse",75 litres,Diesel,SUV,9.3 km/litre,14.75 km/litre,Ventilated Disc,Ventilated Disc,249PS@4500RPM,7,Leather,2994 mm,255/55R19,"Driver head airbag, Drive side airbag, Rear passenger head airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags",8
249,Audi,Q7,45 Tdi Black Styling,"Rs. 81,11,500",2967 cc,6,In-line,BS IV,"Front, Transverse",75 litres,Diesel,SUV,9.3 km/litre,14.75 km/litre,Ventilated Disc,Ventilated Disc,249PS@4500RPM,7,Leather,2994 mm,255/55R19,"Driver head airbag, Drive side airbag, Rear passenger head airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags",8
250,Land Rover Rover,Range Velar,2.0 Petrol R-Dynamic S,"Rs. 72,46,802",1997 cc,4,In-line,BS IV,"Front, Transverse",65 litres,Petrol,SUV,12.63 km/litre,12.63 km/litre,Ventilated Disc,Ventilated Disc,250PS@5500RPM,5,Leather,2874 mm,235/65R17,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Drive side airbag, Rear passenger head airbags",6
251,Volvo,Xc90,D5 Inscription,"Rs. 87,90,000",1969 cc,4,In-line,BS IV,"Front, Longitudinal",68 litres,Diesel,SUV,13.2 km/litre,17.2 km/litre,Ventilated Disc,Ventilated Disc,225PS@4250RPM,7,Leather,2984 mm,235/65R20,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",6
252,Volvo,Xc90,D5 Momentum,"Rs. 80,90,000",1969 cc,4,In-line,BS IV,"Front, Longitudinal",68 litres,Diesel,SUV,13.2 km/litre,17.2 km/litre,Ventilated Disc,Ventilated Disc,225PS@4250RPM,7,Leather,2984 mm,235/65R20,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",6
